# El Centro NS Component - Synthetic Approximation (Imperial Valley 1940)
# Format: time(s)  ax(m/s^2)  ay(m/s^2)
# PGA(ax) ~ 3.4167 m/s^2 (0.348g), PGA(ay) ~ 1.708 m/s^2
0.0000   0.000000   0.000000
0.0200   0.005612   0.002806
0.0400   0.022391   0.011196
0.0600   0.049907   0.024954
0.0800   0.087614   0.043807
0.1000   0.134950   0.067475
0.1200   0.191355   0.095678
0.1400   0.256248   0.128124
0.1600   0.329068   0.164534
0.1800   0.409243   0.204622
0.2000   0.496225   0.248112
0.3000   0.995444   0.497722
0.4000   1.542456   0.771228
0.5000   2.052228   1.026114
0.6000   2.456912   1.228456
0.7000   2.712345   1.356172
0.8000   2.791234   1.395617
0.9000   2.687654   1.343827
1.0000   2.401234   1.200617
1.2000   1.456321   0.728160
1.4000   0.356789   0.178394
1.6000   -0.612345   -0.306172
1.8000   -1.456789   -0.728394
2.0000   -2.389012   -1.194506
2.2000   -2.876543   -1.438271
2.5000   -3.234567   -1.617283
2.8000   -2.987654   -1.493827
3.0000   -2.345678   -1.172839
3.2000   -1.234567   -0.617283
3.5000   0.345678   0.172839
3.8000   1.876543   0.938271
4.0000   2.934567   1.467283
4.2000   3.416700   1.708350
4.5000   3.123456   1.561728
4.8000   2.234567   1.117283
5.0000   1.345678   0.672839
5.2000   0.234567   0.117283
5.5000   -1.456789   -0.728394
5.8000   -2.876543   -1.438271
6.0000   -3.345678   -1.672839
6.2000   -3.012345   -1.506172
6.5000   -1.876543   -0.938271
6.8000   -0.234567   -0.117283
7.0000   1.123456   0.561728
7.2000   2.345678   1.172839
7.5000   3.123456   1.561728
7.8000   2.876543   1.438271
8.0000   1.987654   0.993827
8.2000   0.612345   0.306172
8.5000   -0.987654   -0.493827
8.8000   -2.345678   -1.172839
9.0000   -3.086420   -1.543210
9.2000   -3.012345   -1.506172
9.5000   -2.234567   -1.117283
9.8000   -0.987654   -0.493827
10.0000   0.234567   0.117283
10.2000   1.356428   0.678214
10.5000   2.345678   1.172839
10.8000   2.876543   1.438271
11.0000   2.987654   1.493827
11.2000   2.765432   1.382716
11.5000   2.012345   1.006172
11.8000   1.012345   0.506172
12.0000   0.000000   0.000000
12.2000   -0.876543   -0.438271
12.5000   -1.753086   -0.876543
12.8000   -2.345678   -1.172839
13.0000   -2.592592   -1.296296
13.2000   -2.530864   -1.265432
13.5000   -2.135802   -1.067901
13.8000   -1.543209   -0.771604
14.0000   -0.864197   -0.432098
14.2000   -0.246913   -0.123456
14.5000   0.246913   0.123456
14.8000   0.617283   0.308641
15.0000   0.864197   0.432098
15.2000   0.987654   0.493827
15.5000   0.987654   0.493827
15.8000   0.864197   0.432098
16.0000   0.617283   0.308641
16.2000   0.370370   0.185185
16.5000   0.123456   0.061728
16.8000   -0.123456   -0.061728
17.0000   -0.308641   -0.154320
17.2000   -0.432098   -0.216049
17.5000   -0.493827   -0.246913
17.8000   -0.432098   -0.216049
18.0000   -0.308641   -0.154320
18.2000   -0.123456   -0.061728
18.5000   0.061728   0.030864
18.8000   0.185185   0.092592
19.0000   0.246913   0.123456
19.2000   0.246913   0.123456
19.5000   0.185185   0.092592
19.8000   0.092592   0.046296
20.0000   0.000000   0.000000
